つくえ ツクエ　tsukue 机 desk
なみだ ナミダ　namida 涙 tears
でぐち デグチ　deguchi 出口 exit
ごみ　ゴミ　gomi trash
いす　イス isu 椅子 chair
でんき　デンキ denki 電気 electricity
かでん　カデン　kaden	家電 electronic
かばん　カバン　kaban 鞄 baggage
て テ te 手 hand
あし アシ ashi 足 feet
ゆび　ユビ　yubi 	指 finger
いぬ　イヌ　inu 犬 dog
くろ　	クロ　kuro 	黒 black
ゆか　ユカ　yuka 床 floor
すいみん　スイミン　suimin 睡眠 sleep　
めがね　メガネ megane 眼鏡 glass
め　メ　me 目 eye
あした　アシタ　ashita 明日 tommorow 
きょう　キョウ　kyou 今日 today
まど　マド　mado 窓 window
でんしゃ デンシャ　densha 電車 train
しゃしん　シャシン　shashin 写真 photo
みみ　ミミ　mimi 耳 ear
いち イチ　ichi 一 one
いち イチ　ichi 位置 location
ひゃく　ヒャク　hyaku 百 hundred
やま ヤマ　yama 山 mountain
ひかり ヒカリ hikari　光 light
かわ　カワ kawa 川 river


