あ,ア,a
い,イ,i
う,ウ,
え,エ,e
お,オ,o
か,カ,ka
き,キ,ki
く,ク,k
け,ケ,ke
こ,コ,ko
さ,サ,sa
し,シ,shi
す,ス,s
せ,セ,se
そ,ソ,so
た,タ,ta
ち,チ,chi
つ,ツ,ts
て,テ,te
と,ト,to
な,ナ,na
に,ニ,ni
ぬ,ヌ,n
ね,ネ,ne
の,ノ,no
は,ハ,ha
ひ,ヒ,hi
ふ,フ,f
へ,ヘ,he
ほ,ホ,ho
ま,マ,ma
み,ミ,mi
む,ム,m
め,メ,me
も,モ,mo
や,ヤ,ya
ゆ,ユ,y
よ,ヨ,yo
ら,ラ,ra
り,リ,ri
る,ル,r
れ,レ,re
ろ,ロ,ro
わ,ワ,wa
を,ヲ,wo
ん,ン,n
が,ガ,ga
ぎ,ギ,gi
ぐ,グ,g
げ,ゲ,ge
ご,ゴ,go
ざ,ザ,za
じ,ジ,ji
ず,ズ,z
ぜ,ゼ,ze
だ,ダ,da
で,デ,de
ど,ド,do
ば,バ,ba
び,ビ,bi 
ぶ,ブ,b
べ,ベ,be
ぼ,ボ,bo
ば,パ,pa
ぴ,ピ,pi
ぷ,プ,p
ぺ,ペ,pe
ぽ,ポ,po
きゃ,キャ,kya
きゅ,キュ,ky
きょ,キョ,kyo
しゃ,シャ,sha
しゅ,シュ,sh
しょ,ショ,sho
ちゃ,チャ,cha
ちゅ,チュ,ch
ちょ,チョ,cho
にゃ,ニャ,nya
にゅ,ニュ,ny
にょ,ニョ,nyo
ひゃ,ヒャ,hya
ひゅ,ヒュ,hy
ひょ,ヒョ,hyo
みゃ,ミャ,mya
みゅ,ミュ,my
みょ,ミョ,myo
りゃ,リャ,rya
りゅ,リュ,ry
りょ,リョ,ryo
ぎゃ,ギャ,gya
ぎゅ,ギュ,gy
ぎょ,ギョ,gyo
じゃ,ジャ,ja
じゅ,ジュ,j
じょ,ジョ,jo
びゃ,ビャ,bya
びゅ,ビュ,by
びょ,ビョ,byo
ぴゃ,ピャ,pya
ぴゅ,ピュ,py
ぴょ,ピョ,pyo
っ,ッ,xts
ふぁ,ファ,fa


